# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
  4019.58 5.3820e-15   4143.51 1 
  4022.25 6.5361e-15   4146.26 1 
  4024.92 6.8594e-15   4149.01 1 
  4027.59 5.4428e-15   4151.76 1 
  4030.25 4.7065e-15   4154.51 1 
  4032.92 5.1772e-15   4157.26 1 
  4035.59 6.5325e-15   4160.01 1 
  4038.26 5.5938e-15   4162.76 1 
  4040.92 5.4173e-15   4165.51 1 
  4043.59 6.2460e-15   4168.26 1 
  4046.26 5.8198e-15   4171.01 1 
  4048.93 5.5254e-15   4173.76 1 
  4051.60 5.2206e-15   4176.51 1 
  4054.26 3.4817e-15   4179.26 1 
  4056.93 3.9201e-15   4182.01 1 
  4059.60 5.8379e-15   4184.76 1 
  4062.27 6.0969e-15   4187.51 1 
  4064.93 6.2279e-15   4190.26 1 
  4067.60 7.6546e-15   4193.01 1 
  4070.27 5.1068e-15   4195.76 1 
  4072.94 4.5615e-15   4198.51 1 
  4075.60 4.0568e-15   4201.26 1 
  4078.27 5.6295e-15   4204.01 1 
  4080.94 6.3930e-15   4206.76 1 
  4083.61 5.2173e-15   4209.51 1 
  4086.28 5.1085e-15   4212.26 1 
  4088.94 6.2167e-15   4215.01 1 
  4091.61 5.1774e-15   4217.76 1 
  4094.28 5.1470e-15   4220.51 1 
  4096.95 5.5730e-15   4223.26 1 
  4099.61 5.4620e-15   4226.01 1 
  4102.28 4.8005e-15   4228.76 1 
  4104.95 4.3750e-15   4231.51 1 
  4107.62 3.6969e-15   4234.26 1 
  4110.29 3.4055e-15   4237.01 1 
  4112.95 4.4138e-15   4239.76 1 
  4115.62 4.6036e-15   4242.51 1 
  4118.29 5.4724e-15   4245.26 1 
  4120.96 6.4379e-15   4248.01 1 
  4123.62 6.1783e-15   4250.76 1 
  4126.29 4.8263e-15   4253.51 1 
  4128.96 4.9148e-15   4256.26 1 
  4131.63 5.0521e-15   4259.01 1 
  4134.30 6.3017e-15   4261.76 1 
